iter	Passed	Remaining
0	0	72
1	1	69
2	2	67
3	2	61
4	3	59
5	3	58
6	4	58
7	5	58
8	5	58
9	6	57
10	7	57
11	7	57
12	8	56
13	9	55
14	9	55
15	10	54
16	11	54
17	11	53
18	12	52
19	13	52
20	13	51
21	14	50
22	14	49
23	15	49
24	16	48
25	16	47
26	17	46
27	18	46
28	18	46
29	19	45
30	20	45
31	21	44
32	21	44
33	22	43
34	23	42
35	23	42
36	24	41
37	24	40
38	25	40
39	26	39
40	27	39
41	27	37
42	28	37
43	28	36
44	29	36
45	30	35
46	30	34
47	31	34
48	32	33
49	32	32
50	33	32
51	34	31
52	34	30
53	35	30
54	35	29
55	36	28
56	36	27
57	37	27
58	37	26
59	38	25
60	39	25
61	40	24
62	40	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	20
68	45	20
69	45	19
70	46	19
71	47	18
72	47	17
73	48	17
74	49	16
75	49	15
76	50	15
77	51	14
78	51	13
79	52	13
80	53	12
81	53	11
82	54	11
83	55	10
84	56	9
85	57	9
86	57	8
87	58	8
88	59	7
89	60	6
90	60	6
91	61	5
92	62	4
93	63	4
94	63	3
95	64	2
96	64	2
97	65	1
98	66	0
99	66	0
